iter	Passed	Remaining
0	1	158
1	2	143
2	4	134
3	5	121
4	6	120
5	7	119
6	8	115
7	9	109
8	10	108
9	12	108
10	13	107
11	14	106
12	15	105
13	16	103
14	18	103
15	19	102
16	20	101
17	21	99
18	22	97
19	23	95
20	24	93
21	25	92
22	27	90
23	28	89
24	29	88
25	30	88
26	32	87
27	33	86
28	35	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	43	77
36	44	76
37	45	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	60	60
50	62	59
51	64	59
52	66	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	76	50
60	77	49
61	78	48
62	80	47
63	81	45
64	83	44
65	84	43
66	85	42
67	87	41
68	88	39
69	90	38
70	91	37
71	93	36
72	94	34
73	95	33
74	96	32
75	97	30
76	98	29
77	99	28
78	100	26
79	102	25
80	103	24
81	105	23
82	106	21
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	117	10
92	118	8
93	119	7
94	121	6
95	122	5
96	124	3
97	125	2
98	127	1
99	128	0
