iter	Passed	Remaining
0	134	134109
1	136	68085
2	138	46011
3	140	34931
4	142	28316
5	144	23907
6	145	20691
7	147	18296
8	148	16399
9	150	14897
10	151	13618
11	152	12548
12	153	11649
13	154	10883
14	155	10212
15	157	9684
16	159	9216
17	160	8752
18	161	8363
19	163	7989
20	163	7638
21	164	7318
22	165	7038
23	166	6788
24	168	6559
25	169	6336
26	170	6133
27	171	5959
28	172	5788
29	174	5632
30	175	5481
31	176	5329
32	177	5189
33	178	5060
34	178	4933
35	179	4815
36	180	4707
37	181	4602
38	182	4496
39	183	4401
40	184	4307
41	184	4218
42	185	4139
43	186	4061
44	187	3985
45	188	3910
46	189	3839
47	190	3771
48	190	3706
49	191	3644
50	192	3585
51	193	3526
52	194	3467
53	194	3411
54	195	3357
55	196	3305
56	196	3256
57	197	3210
58	198	3168
59	199	3125
60	200	3086
61	201	3047
62	202	3008
63	203	2970
64	204	2935
65	204	2899
66	205	2863
67	206	2833
68	207	2804
69	208	2771
70	209	2740
71	210	2709
72	210	2678
73	211	2649
74	212	2621
75	213	2594
76	214	2568
77	215	2544
78	216	2520
79	217	2496
80	218	2473
81	218	2450
82	219	2423
83	220	2400
84	220	2378
85	221	2356
86	222	2338
87	223	2320
88	224	2300
89	225	2279
90	226	2259
91	226	2240
92	227	2220
93	228	2202
94	229	2185
95	230	2168
96	231	2152
97	232	2136
98	232	2119
99	233	2104
100	234	2087
101	235	2070
102	236	2056
103	237	2041
104	237	2028
105	238	2014
106	239	2001
107	240	1987
108	241	1973
109	242	1959
110	243	1946
111	243	1933
112	244	1921
113	245	1910
114	246	1899
115	247	1887
116	251	1901
117	253	1891
118	253	1879
119	255	1870
120	256	1861
121	257	1850
122	258	1843
123	260	1837
124	265	1855
125	266	1848
126	267	1836
127	268	1826
128	269	1817
129	270	1808
130	271	1798
131	271	1788
132	272	1778
133	274	1770
134	277	1776
135	278	1767
136	279	1758
137	279	1748
138	280	1740
139	281	1732
140	282	1723
141	283	1711
142	284	1702
143	285	1694
144	285	1685
145	286	1678
146	289	1678
147	291	1679
148	292	1672
149	293	1665
150	295	1659
151	296	1651
152	296	1643
153	297	1636
154	298	1628
155	299	1621
156	300	1613
157	301	1606
158	302	1599
159	303	1592
160	303	1583
161	304	1576
162	305	1569
163	306	1562
164	307	1555
165	308	1549
166	309	1541
167	310	1535
168	310	1528
169	311	1521
170	312	1515
171	313	1508
172	314	1502
173	314	1495
174	315	1489
175	316	1482
176	317	1476
177	318	1470
178	319	1464
179	320	1459
180	321	1454
181	322	1449
182	323	1443
183	323	1436
184	324	1430
185	325	1423
186	326	1417
187	326	1411
188	327	1405
189	328	1399
190	328	1393
191	329	1387
192	330	1382
193	331	1376
194	332	1371
195	332	1365
196	333	1360
197	334	1355
198	335	1351
199	336	1345
200	337	1341
201	338	1335
202	339	1331
203	340	1327
204	340	1321
205	341	1316
206	342	1311
207	342	1305
208	343	1300
209	344	1295
210	345	1291
211	346	1287
212	346	1282
213	347	1277
214	348	1272
215	349	1268
216	350	1264
217	351	1261
218	352	1257
219	353	1252
220	354	1248
221	354	1244
222	355	1239
223	356	1234
224	357	1230
225	358	1226
226	358	1221
227	359	1217
228	360	1213
229	360	1208
230	361	1204
231	362	1200
232	363	1196
233	364	1192
234	365	1189
235	366	1185
236	367	1182
237	368	1179
238	369	1175
239	369	1171
240	370	1167
241	371	1163
242	372	1159
243	373	1156
244	374	1152
245	374	1148
246	375	1144
247	376	1141
248	377	1138
249	378	1134
250	379	1131
251	380	1127
252	380	1124
253	381	1121
254	382	1118
255	383	1115
256	384	1111
257	385	1108
258	386	1105
259	387	1101
260	387	1098
261	388	1094
262	389	1091
263	390	1089
264	391	1085
265	392	1082
266	393	1079
267	394	1076
268	395	1073
269	396	1071
270	397	1068
271	398	1065
272	399	1063
273	400	1060
274	401	1057
275	402	1055
276	403	1052
277	404	1050
278	405	1047
279	406	1044
280	407	1041
281	408	1038
282	408	1035
283	409	1032
284	410	1030
285	411	1027
286	412	1024
287	413	1022
288	414	1019
289	415	1016
290	416	1013
291	416	1010
292	417	1007
293	418	1004
294	419	1001
295	420	998
296	420	995
297	421	993
298	422	990
299	423	987
300	423	984
301	424	981
302	425	979
303	426	976
304	427	974
305	428	972
306	429	969
307	430	966
308	431	964
309	431	961
310	432	958
311	433	955
312	434	952
313	434	950
314	435	947
315	436	944
316	437	942
317	437	939
318	438	936
319	439	933
320	440	931
321	441	929
322	442	927
323	443	924
324	444	922
325	444	919
326	445	917
327	446	915
328	447	913
329	448	910
330	449	908
331	450	905
332	450	903
333	451	900
334	452	897
335	453	895
336	454	893
337	455	891
338	456	889
339	456	886
340	457	884
341	458	882
342	459	880
343	460	878
344	461	875
345	461	872
346	462	870
347	463	867
348	463	865
349	464	862
350	465	860
351	466	858
352	466	855
353	467	853
354	468	851
355	469	849
356	470	846
357	471	844
358	471	842
359	472	840
360	473	838
361	474	835
362	475	833
363	475	831
364	476	829
365	477	826
366	478	824
367	479	822
368	479	820
369	480	818
370	481	815
371	482	813
372	482	811
373	483	809
374	484	807
375	485	805
376	486	803
377	487	801
378	487	799
379	488	797
380	489	796
381	490	793
382	491	791
383	492	789
384	493	787
385	493	785
386	494	783
387	494	780
388	495	778
389	496	776
390	496	774
391	497	772
392	498	770
393	499	767
394	500	765
395	501	764
396	502	762
397	502	760
398	503	758
399	504	756
400	505	754
401	505	752
402	506	750
403	507	748
404	507	746
405	508	743
406	509	741
407	509	739
408	510	737
409	511	735
410	511	733
411	512	731
412	513	729
413	513	727
414	514	725
415	515	723
416	516	722
417	517	720
418	518	719
419	519	717
420	520	715
421	521	714
422	522	712
423	523	711
424	524	709
425	525	707
426	525	705
427	526	703
428	527	702
429	528	700
430	529	698
431	530	696
432	531	695
433	531	693
434	532	691
435	533	690
436	534	688
437	534	686
438	535	684
439	536	682
440	537	681
441	538	679
442	538	677
443	539	675
444	540	674
445	541	672
446	542	670
447	543	669
448	544	667
449	545	666
450	546	665
451	547	663
452	548	662
453	549	660
454	550	658
455	550	657
456	551	655
457	552	653
458	553	651
459	553	650
460	554	648
461	555	646
462	556	644
463	556	643
464	557	641
465	558	639
466	558	637
467	559	636
468	560	634
469	561	633
470	562	631
471	563	630
472	563	628
473	564	626
474	565	624
475	565	622
476	566	621
477	567	619
478	567	617
479	568	616
480	569	614
481	570	612
482	570	610
483	571	609
484	572	607
485	572	605
486	573	604
487	574	602
488	575	600
489	576	599
490	577	598
491	577	596
492	578	595
493	579	593
494	580	591
495	581	590
496	581	588
497	582	586
498	582	585
499	583	583
500	584	581
501	584	580
502	585	578
503	586	576
504	586	575
505	587	573
506	588	572
507	589	570
508	589	568
509	590	567
510	591	565
511	592	564
512	593	563
513	594	561
514	594	560
515	595	558
516	596	557
517	596	555
518	597	553
519	598	552
520	598	550
521	599	548
522	600	547
523	600	545
524	601	544
525	602	542
526	602	541
527	603	539
528	604	537
529	604	536
530	605	534
531	606	533
532	607	532
533	608	530
534	609	529
535	610	528
536	610	526
537	611	524
538	612	523
539	612	522
540	613	520
541	614	519
542	614	517
543	615	516
544	616	514
545	616	512
546	617	511
547	618	509
548	618	508
549	619	506
550	620	505
551	621	504
552	622	502
553	623	501
554	623	500
555	624	498
556	625	497
557	626	496
558	627	494
559	628	493
560	628	491
561	629	490
562	630	489
563	630	487
564	631	486
565	632	484
566	633	483
567	633	481
568	634	480
569	635	479
570	635	477
571	636	476
572	638	475
573	638	474
574	639	472
575	640	471
576	641	470
577	641	468
578	642	467
579	643	465
580	643	464
581	644	463
582	645	461
583	646	460
584	647	459
585	648	457
586	649	456
587	649	455
588	650	453
589	651	452
590	652	451
591	653	450
592	654	448
593	654	447
594	655	446
595	656	444
596	657	443
597	657	442
598	658	440
599	659	439
600	659	438
601	660	436
602	661	435
603	661	433
604	662	432
605	663	431
606	664	429
607	664	428
608	665	427
609	666	425
610	667	424
611	668	423
612	669	422
613	670	421
614	670	419
615	671	418
616	672	417
617	672	415
618	673	414
619	674	413
620	674	411
621	675	410
622	676	409
623	676	407
624	677	406
625	678	405
626	678	403
627	679	402
628	680	401
629	680	399
630	681	398
631	682	397
632	683	396
633	684	394
634	684	393
635	685	392
636	685	390
637	686	389
638	687	388
639	687	386
640	688	385
641	689	384
642	689	382
643	690	381
644	691	380
645	691	379
646	692	377
647	692	376
648	693	375
649	694	373
650	694	372
651	695	371
652	696	369
653	696	368
654	697	367
655	698	366
656	699	365
657	699	363
658	700	362
659	701	361
660	701	359
661	702	358
662	703	357
663	703	356
664	704	354
665	705	353
666	705	352
667	706	351
668	706	349
669	707	348
670	708	347
671	708	345
672	709	344
673	710	343
674	710	342
675	711	340
676	712	339
677	713	338
678	714	337
679	714	336
